Date,Mkt-RF,SMB,HML,RF,UMD,STREV,LTREV
195206,3.83,-1.6,1.18,0.15,1.5,0.72,-1.66
195207,0.91,-0.35,-0.4,0.15,-0.52,1.09,-0.65
195208,-0.76,1.21,-0.12,0.15,0.31,0.36,0.4
195209,-2.03,1.19,-1.59,0.16,1.76,-1.18,0.92
195210,-0.66,-1.1,-0.46,0.14,2.75,0.75,0.46
195211,5.94,-0.69,0.88,0.1,0.44,1.81,-0.84
195212,2.93,-1.42,0,0.16,1.51,2.06,-0.7
195301,-0.34,3.54,1.28,0.16,0.72,2.16,1.46
195302,-0.27,2.16,-0.13,0.14,0.86,-0.58,0.94
195303,-1.43,-0.14,-1.03,0.18,0.08,0.71,0.98
195304,-2.83,0.27,1.45,0.16,1.85,0.69,1.91
195305,0.52,-0.03,0.13,0.17,0.94,0.32,-1.3
195306,-1.89,-1.85,-0.47,0.18,-0.01,-0.05,-0.9
195307,2.4,-1.01,-0.37,0.15,-0.31,0.86,-0.6
195308,-4.52,0.44,-3.62,0.17,2.21,0.33,0.86
195309,0.2,-0.81,-2.55,0.16,2.88,-0.73,-0.4
195310,4.6,-1.4,-0.03,0.13,0.27,0.24,-3.37
195311,2.83,-1.23,-0.4,0.08,1.95,-0.2,-0.84
195312,0.03,-0.72,-2.96,0.13,5.19,-1.24,-1.18
195401,5.13,0.42,3.53,0.11,-5.74,4.98,-0.42
195402,1.67,-0.21,-0.23,0.07,1.03,1.2,-0.96
195403,3.65,-0.51,-1.55,0.08,2.2,0.12,-2.26
195404,4.27,-3.46,-0.5,0.09,4.98,-1.44,-3.1
195405,3.09,0.36,2.53,0.05,-1.99,2.58,-1.13
195406,1.07,0.4,-0.05,0.06,3.52,1.95,-1.08
195407,4.99,1.05,4.13,0.05,0.44,1.23,0.66
195408,-2.34,2.68,-1.44,0.05,-0.64,2.09,0.05
195409,6.39,-2.56,0.68,0.09,1.54,-0.37,-3.32
195410,-1.67,0.57,0.71,0.07,0.96,0.37,-0.9
195411,9.38,-2.65,4.18,0.06,1.93,-0.68,-1.66
195412,5.48,2.15,5.74,0.08,-1.41,-0.1,-0.01
195501,0.6,0.24,2.22,0.08,1.36,1.77,-0.95
195502,3.02,1.54,0.61,0.09,1.09,1.71,-1.88
195503,-0.16,-0.69,2.01,0.1,1.03,1.25,0.08
195504,3.11,-1.78,0.74,0.1,0.09,1.3,-0.05
195505,0.93,-0.28,-0.87,0.14,0.56,0.07,-0.06
