Date,Small Size  & Low Ret212,Small Size  & 2 Ret212,Small Size  & 3 Ret212,Small Size  & 4 Ret212,Small Size  & High Ret212,2 Size  & Low Ret212,2 Size  & 2 Ret212,2 Size  & 3 Ret212,2 Size  & 4 Ret212,2 Size  & High Ret212,3 Size  & Low Ret212,3 Size  & 2 Ret212,3 Size  & 3 Ret212,3 Size  & 4 Ret212,3 Size  & High Ret212,4 Size  & Low Ret212,4 Size  & 2 Ret212,4 Size  & 3 Ret212,4 Size  & 4 Ret212,4 Size  & High Ret212,Big Size  & Low Ret212,Big Size  & 2 Ret212,Big Size  & 3 Ret212,Big Size  & 4 Ret212,Big Size  & High Ret212
195612,7.02,7.31,7.31,8.4,8.12,20.06,21.4,19.61,20.94,20.1,46.51,47.62,46.73,46.75,45.79,110.96,106.04,114.57,109.52,99.67,908.61,733.08,728.02,906.47,646.11
195701,6.82,7.64,7.7,8.43,8.33,20.95,21.23,21.07,22.56,20.95,47.06,49.98,47.21,49.24,50.76,101.95,113.88,119.31,116.02,110.52,991.61,475.24,1189.45,776.44,729.98
195702,7.2,8.03,8.33,8.51,8.09,20.91,22.32,20.59,22.25,21.03,45.85,49.12,49.53,49.77,47.97,102.14,110.03,117.06,113.58,110.05,1034.4,428.75,964.95,856.33,728.77
195703,6.63,8.17,7.73,8.18,8.48,19.72,22.65,20.46,20.4,20.63,45.89,46.62,46,46.91,48.23,103.61,109.43,113.41,113.21,103.02,860.27,901.11,837.55,704.91,570.55
195704,6.7,7.82,8.61,8.11,8.26,19.4,23.78,20.58,21.63,19.98,45.9,46.11,48.15,48.14,49.07,111.75,106.89,110,109.81,114.29,827.63,1029.14,650.92,772.55,586.3
195705,6.98,8.11,7.7,7.95,9.25,19.74,21.92,22.16,21.45,21.03,46.77,47.4,47.89,49.6,50.16,116.23,112.72,114.19,116.06,109.99,758.81,1113.97,923.76,834.92,454.59
195706,7.28,7.41,9.15,7.72,8.75,21.76,20.92,21.18,21.89,22.52,48.28,47.18,49.13,52.81,48.57,107.88,112.63,122.53,120.37,112.53,572.49,772.92,1211.52,1000.73,610.34
195707,7.03,8.23,8.2,8.68,8.03,21.07,20.94,21.34,22.09,21.75,47.17,45.54,50.3,51.94,47.32,111.55,112.75,115.76,113.7,115.48,563.84,1080.92,772.93,1096.08,649.1
195708,7.67,7.32,8.62,8.74,7.51,22.46,20.35,21.58,21.55,21.36,47.98,47.7,49.57,50.25,47.46,112.6,115.64,112.03,110.94,117.15,596.92,866.4,939.17,1058.73,656.62
195709,7.01,8.06,8.27,8.32,6.89,19.98,20.36,20.46,21.14,20.64,44.18,46,47.01,46.04,47.25,105.08,112.19,104.32,99.13,111.68,604.24,758.65,877.9,460.7,1265.68
195710,6.71,7.19,8.04,7.69,7.03,19.47,17.95,19.24,19.92,19.99,41.89,42.95,43.73,44.57,42.63,101.39,101.43,102.12,101.56,97.35,461.94,731.04,666.1,662.7,1063.26
195711,5.83,6.44,6.95,7.43,6.73,18.13,17.48,17.66,17.59,18.81,38.74,42.52,39,42.11,38.85,97.46,92.09,96.32,99.34,93.5,430.93,802.06,593.61,1107.21,661.41
195712,5.84,6.52,7,7.32,6.68,18.36,17.22,17.79,17.32,18.77,39.25,42.52,42.73,39.47,40.93,93.49,93.52,100.67,103.57,97.19,434.06,560.17,684.12,1159.55,697.48
195801,5.21,6.64,6.32,6.67,6.85,16.28,16.87,16.85,16.62,17.86,38.35,40.65,38.52,39.14,38.73,90.78,93.67,90.19,104.91,97.02,419.14,671.26,758.85,949.03,643.76
195802,6.33,6.99,7.74,7.42,7.51,18.7,18.05,18.17,18.93,20.43,40.97,43.76,42.46,41.45,48.2,90.61,103.27,106.55,104.81,111.02,420.14,407.95,1050.82,1027.18,647.65
195803,6.25,6.31,7.41,7.9,7.05,18.1,17.23,18.39,19.13,19.91,41.06,42.97,43.23,41.69,43.44,99.84,101.99,96.37,108.28,104.37,563.67,428.39,1064.39,913.8,615.23
195804,6.52,7.47,7.21,8.21,7.27,19.61,18.69,18.2,20.52,19.68,44.48,44.27,44.54,44.58,44.13,103.94,104.26,105.81,109.36,111.75,512.77,541.06,1150.09,994.95,549.91
195805,6.3,8.17,7.47,8,7.73,20.03,19.46,20.06,19.75,20.31,45.98,46.17,44.12,45.74,43.71,105.11,104.19,103.73,119.75,111.89,423.72,798.76,1376.12,699.94,573.24
195806,7.32,7.72,7.51,8.56,7.07,20.77,20.1,20.87,20,21.55,48.68,45.34,46.71,47.08,47.41,109.76,114.52,108.37,118.07,115.53,519.09,691.47,1367.42,796.89,523.8
195807,7.68,7.84,7.43,9.1,8.06,20.83,21.02,19.78,22.03,21.79,46.19,46.4,47.42,49.73,48.58,115.73,113.79,112.4,118.34,121.3,539.64,1228.01,1063.32,765.64,479.61
195808,8.59,7.36,8.08,9.89,8.28,22.49,20.58,23.25,21.77,22.96,49.23,50.3,51.43,53.23,50.3,120.34,116.91,114.19,124.43,128.39,594.42,1354.19,982.56,780.15,483.58
195809,8.61,7.92,8.6,9.5,9.14,22.83,22,23.4,22.57,23.23,50.27,50.94,52.04,53.14,53.1,116.76,128.98,118.31,130,124.99,1133.4,1470.59,982.77,556.34,460.95
195810,9.24,8.74,9.28,8.92,9.18,23.37,24.43,22.68,23.32,25.51,52.39,53,58.86,56.97,52.37,135.56,122.6,131.76,130.51,130.89,1339.69,1764,601.22,721.72,391.77
195811,9.38,9.34,9.16,8.78,10.14,24.55,23.77,23.67,24.68,26.29,56.98,55.19,56.59,57.62,53.53,144.26,137.63,127.69,131.6,134.87,1515.22,968.63,863.31,712.87,431.15
195812,10.18,9.83,9.3,9.14,9.38,25.8,26.65,26.46,24.94,26.66,58.11,59.24,54.81,58.4,55.27,151.84,147.08,127.73,137.32,140.82,1506.66,938.16,650.04,999.06,589
195901,9.97,10.12,9.81,10.74,9.76,28.29,25.66,27.37,27.64,27.8,61.92,57.59,61.37,61.66,57.08,163.14,139.75,147.65,140.22,152.17,1624.16,796.8,1194.12,465.65,723.86
195902,9.95,10.77,11.55,11.85,10.6,27.9,27.86,29.59,28.63,30.04,61.1,64.17,63.3,64.38,61.34,155.94,152.35,140.47,154.38,155.54,1251.55,769.1,1189.07,1104.05,845.88
195903,10.6,11.78,10.46,11.8,10.49,29.26,29.05,29.07,30.96,29.27,65.69,66.31,65.96,63.45,63.81,168.46,149.15,158.94,154.51,152.53,1015.61,820.87,1472.09,1155.71,580.73
195904,10.85,11.87,10.82,11.74,11.22,29.04,28.59,30.47,31.55,30.75,63.55,66.47,65.4,67.55,62.42,153.84,158.31,162.34,150.47,152.48,1122.49,857.56,1561.55,992.3,565.66
195905,10.56,11.99,11.27,12.74,11.01,30.43,30.56,32.17,30.39,31.02,67.71,69.2,66.86,66.52,65.31,165.94,164.5,161.11,146.22,160.19,1052.93,1127.11,1408.14,976.49,647.59
195906,10.13,12.91,11.47,11.78,11.26,28.37,30.81,31.14,32.21,30.31,68.26,67.13,71.41,63.22,64.58,171.79,163.57,155.28,156.59,158.84,1027.21,689.13,1496.14,1216.94,1013.59
195907,10.26,12.83,11.04,11.41,11.99,28.64,29.43,30.84,30.22,32.79,67.73,65.46,70.58,64.3,67.68,172.26,156.67,147.24,157.43,168.88,937.57,654.71,1383.13,1511.47,960.77
195908,10.21,12.89,11.92,11.04,12.62,31.54,29.89,30.71,32.42,32.34,68.04,70.99,71.53,64.76,68.49,181.49,157.68,154.72,153.94,164.98,1132.81,1023.2,1074.56,1382.64,999.01
195909,10.56,11.8,11.54,12.36,11.27,29.98,30.34,30.67,31.11,31.79,66.85,69.34,66.71,69.85,65.96,171.31,153.42,148.77,164.34,155.24,1031.23,717.13,1421.29,1307.8,933.62
195910,9.36,11.5,10.68,11.98,11.73,28.26,28.42,29.1,29.6,30.52,62.53,65.83,63.87,61.16,66.81,161.45,151.55,142.96,150.38,147.53,1085.52,654.22,997.43,1371.85,982.41
195911,9.98,11.51,11.06,11.15,11.67,28.92,30.95,28.57,30.41,31.49,68.35,64.47,67.07,62.79,67.21,156.67,157.42,145.66,152.62,152.21,1005.89,669.55,1093.22,1391.3,1074.09
